,category,scientific_name,common_names,conservation_group,park_name,observations
117,Vascular Plant,Galium trifidum,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw",None,Bryce National Park,97
118,Vascular Plant,Galium trifidum,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw",None,Yellowstone National Park,228
119,Vascular Plant,Galium trifidum,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw",None,Great Smoky Mountains National Park,127
120,Vascular Plant,Galium mollugo,False Baby's Breath,None,Yellowstone National Park,210
121,Vascular Plant,Galium mollugo,False Baby's Breath,None,Great Smoky Mountains National Park,98
122,Vascular Plant,Galium mollugo,False Baby's Breath,None,Bryce National Park,109
123,Vascular Plant,Galium mollugo,False Baby's Breath,None,Yosemite National Park,146
124,Vascular Plant,Galium boreale,Northern Bedstraw,None,Yellowstone National Park,252
125,Vascular Plant,Galium boreale,Northern Bedstraw,None,Great Smoky Mountains National Park,99
126,Vascular Plant,Galium boreale,Northern Bedstraw,None,Bryce National Park,79
127,Vascular Plant,Galium boreale,Northern Bedstraw,None,Yosemite National Park,137
128,Vascular Plant,Galium bifolium,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",None,Bryce National Park,40
129,Vascular Plant,Galium bifolium,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",None,Yellowstone National Park,238
130,Vascular Plant,Galium bifolium,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",None,Yosemite National Park,159
131,Vascular Plant,Galium bifolium,"Twin-Leaf Bedstraw, Twinleaf Bedstraw",None,Great Smoky Mountains National Park,65
132,Vascular Plant,Swertia perennis,"Star Gentian, Felwort, Alpinebog Swertia",None,Great Smoky Mountains National Park,85
133,Vascular Plant,Swertia perennis,"Star Gentian, Felwort, Alpinebog Swertia",None,Bryce National Park,121
134,Vascular Plant,Swertia perennis,"Star Gentian, Felwort, Alpinebog Swertia",None,Yellowstone National Park,232
135,Vascular Plant,Swertia perennis,"Star Gentian, Felwort, Alpinebog Swertia",None,Yosemite National Park,168
136,Vascular Plant,Oxytropis campestris var. cusickii,Cusick's Locoweed,None,Bryce National Park,70
137,Vascular Plant,Oxytropis campestris var. cusickii,Cusick's Locoweed,None,Yellowstone National Park,235
138,Vascular Plant,Oxytropis campestris var. cusickii,Cusick's Locoweed,None,Yosemite National Park,130
139,Vascular Plant,Oxytropis campestris var. cusickii,Cusick's Locoweed,None,Great Smoky Mountains National Park,55
140,Vascular Plant,Oxytropis borealis var. viscida,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",None,Yellowstone National Park,217
141,Vascular Plant,Oxytropis borealis var. viscida,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",None,Great Smoky Mountains National Park,76
142,Vascular Plant,Oxytropis borealis var. viscida,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",None,Bryce National Park,117
143,Vascular Plant,Oxytropis borealis var. viscida,"Viscid Locoweed, Sticky Pointloco, Sticky Crazyweed",None,Yosemite National Park,130
144,Vascular Plant,Onobrychis viciifolia,"Sainfoin, Common Sainfoin",None,Great Smoky Mountains National Park,78
145,Vascular Plant,Onobrychis viciifolia,"Sainfoin, Common Sainfoin",None,Bryce National Park,99
146,Vascular Plant,Onobrychis viciifolia,"Sainfoin, Common Sainfoin",None,Yosemite National Park,141
147,Vascular Plant,Onobrychis viciifolia,"Sainfoin, Common Sainfoin",None,Yellowstone National Park,261
148,Vascular Plant,Astragalus canadensis var. brevidens,Shorttooth Canadian Milkvetch,None,Bryce National Park,106
149,Vascular Plant,Astragalus canadensis var. brevidens,Shorttooth Canadian Milkvetch,None,Yosemite National Park,158
150,Vascular Plant,Astragalus canadensis var. brevidens,Shorttooth Canadian Milkvetch,None,Great Smoky Mountains National Park,90
151,Vascular Plant,Astragalus canadensis var. brevidens,Shorttooth Canadian Milkvetch,None,Yellowstone National Park,227
152,Vascular Plant,Astragalus australis var. glabriusculus,Aboriginal Milkvetch,None,Bryce National Park,115
153,Vascular Plant,Astragalus australis var. glabriusculus,Aboriginal Milkvetch,None,Great Smoky Mountains National Park,68
154,Vascular Plant,Astragalus australis var. glabriusculus,Aboriginal Milkvetch,None,Yosemite National Park,144
155,Vascular Plant,Astragalus australis var. glabriusculus,Aboriginal Milkvetch,None,Yellowstone National Park,237
156,Vascular Plant,Astragalus americanus,"American Milkvetch, American Milk-Vetch",None,Bryce National Park,107
157,Vascular Plant,Astragalus americanus,"American Milkvetch, American Milk-Vetch",None,Yellowstone National Park,211
158,Vascular Plant,Astragalus americanus,"American Milkvetch, American Milk-Vetch",None,Yosemite National Park,174
159,Vascular Plant,Astragalus americanus,"American Milkvetch, American Milk-Vetch",None,Great Smoky Mountains National Park,89
160,Vascular Plant,Astragalus alpinus,Alpine Milkvetch,None,Great Smoky Mountains National Park,82
161,Vascular Plant,Astragalus alpinus,Alpine Milkvetch,None,Bryce National Park,99
162,Vascular Plant,Astragalus alpinus,Alpine Milkvetch,None,Yellowstone National Park,252
163,Vascular Plant,Astragalus alpinus,Alpine Milkvetch,None,Yosemite National Park,156
164,Vascular Plant,Astragalus agrestis,"Field Milkvetch, Cock's-Head, Purple Milkvetch",None,Yosemite National Park,151
165,Vascular Plant,Astragalus agrestis,"Field Milkvetch, Cock's-Head, Purple Milkvetch",None,Bryce National Park,93
166,Vascular Plant,Astragalus agrestis,"Field Milkvetch, Cock's-Head, Purple Milkvetch",None,Yellowstone National Park,236
167,Vascular Plant,Astragalus agrestis,"Field Milkvetch, Cock's-Head, Purple Milkvetch",None,Great Smoky Mountains National Park,74
168,Vascular Plant,Primula incana,"Hoary Primrose, Silvery Primrose",None,Yosemite National Park,136
169,Vascular Plant,Primula incana,"Hoary Primrose, Silvery Primrose",None,Bryce National Park,82
170,Vascular Plant,Primula incana,"Hoary Primrose, Silvery Primrose",None,Yellowstone National Park,240
171,Vascular Plant,Primula incana,"Hoary Primrose, Silvery Primrose",None,Great Smoky Mountains National Park,92
172,Vascular Plant,Lysimachia thyrsiflora,"Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife, Water Loosestrife",None,Yellowstone National Park,228
173,Vascular Plant,Lysimachia thyrsiflora,"Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife, Water Loosestrife",None,Great Smoky Mountains National Park,53
174,Vascular Plant,Lysimachia thyrsiflora,"Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife, Water Loosestrife",None,Yosemite National Park,151
175,Vascular Plant,Lysimachia thyrsiflora,"Swamp Loosestrife, Tufted Yellow-Loosestrife, Tufted Loosestrife, Water Loosestrife",None,Bryce National Park,88
176,Vascular Plant,Glaux maritima,Sea-Milkwort,None,Yellowstone National Park,215
177,Vascular Plant,Glaux maritima,Sea-Milkwort,None,Yosemite National Park,116
178,Vascular Plant,Glaux maritima,Sea-Milkwort,None,Great Smoky Mountains National Park,34
179,Vascular Plant,Glaux maritima,Sea-Milkwort,None,Bryce National Park,98
180,Vascular Plant,Astragalus cibarius,Browse Milkvetch,None,Yosemite National Park,153
181,Vascular Plant,Astragalus cibarius,Browse Milkvetch,None,Great Smoky Mountains National Park,94
182,Vascular Plant,Astragalus cibarius,Browse Milkvetch,None,Yellowstone National Park,246
183,Vascular Plant,Astragalus cibarius,Browse Milkvetch,None,Bryce National Park,85
184,Vascular Plant,Douglasia montana,Rocky Mountain Dwarf-Primrose,None,Bryce National Park,75
185,Vascular Plant,Douglasia montana,Rocky Mountain Dwarf-Primrose,None,Great Smoky Mountains National Park,47
186,Vascular Plant,Douglasia montana,Rocky Mountain Dwarf-Primrose,None,Yellowstone National Park,236
187,Vascular Plant,Douglasia montana,Rocky Mountain Dwarf-Primrose,None,Yosemite National Park,117
188,Vascular Plant,Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",None,Yellowstone National Park,248
189,Vascular Plant,Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",None,Great Smoky Mountains National Park,50
190,Vascular Plant,Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",None,Yosemite National Park,120
191,Vascular Plant,Androsace occidentalis,"Western Rockjasmine, Western Rock-Jasmine",None,Bryce National Park,77
192,Vascular Plant,Androsace filiformis,"Slender Rockjasmine, Filiform Rockjasmine, Slender-Stemmed Androsace",None,Yellowstone National Park,265
193,Vascular Plant,Androsace filiformis,"Slender Rockjasmine, Filiform Rockjasmine, Slender-Stemmed Androsace",None,Great Smoky Mountains National Park,87
194,Vascular Plant,Androsace filiformis,"Slender Rockjasmine, Filiform Rockjasmine, Slender-Stemmed Androsace",None,Yosemite National Park,150
195,Vascular Plant,Androsace filiformis,"Slender Rockjasmine, Filiform Rockjasmine, Slender-Stemmed Androsace",None,Bryce National Park,116
196,Vascular Plant,Polemonium viscosum,"Sticky Jacob's-Ladder, Sticky Polemonium",None,Yosemite National Park,184
197,Vascular Plant,Polemonium viscosum,"Sticky Jacob's-Ladder, Sticky Polemonium",None,Bryce National Park,104
198,Vascular Plant,Polemonium viscosum,"Sticky Jacob's-Ladder, Sticky Polemonium",None,Yellowstone National Park,217
199,Vascular Plant,Polemonium viscosum,"Sticky Jacob's-Ladder, Sticky Polemonium",None,Great Smoky Mountains National Park,107
200,Vascular Plant,Polemonium occidentale,"Western Jacob's-Ladder, Western Polemonium",None,Yellowstone National Park,255
201,Vascular Plant,Polemonium occidentale,"Western Jacob's-Ladder, Western Polemonium",None,Great Smoky Mountains National Park,54
202,Vascular Plant,Polemonium occidentale,"Western Jacob's-Ladder, Western Polemonium",None,Yosemite National Park,143
203,Vascular Plant,Polemonium occidentale,"Western Jacob's-Ladder, Western Polemonium",None,Bryce National Park,104
204,Vascular Plant,Polemonium micranthum,"Littlebell Jacob's-Ladder, Annual Polemonium, Annual Jacob's-Ladder",None,Bryce National Park,89
205,Vascular Plant,Polemonium micranthum,"Littlebell Jacob's-Ladder, Annual Polemonium, Annual Jacob's-Ladder",None,Great Smoky Mountains National Park,83
206,Vascular Plant,Polemonium micranthum,"Littlebell Jacob's-Ladder, Annual Polemonium, Annual Jacob's-Ladder",None,Yosemite National Park,148
207,Vascular Plant,Polemonium micranthum,"Littlebell Jacob's-Ladder, Annual Polemonium, Annual Jacob's-Ladder",None,Yellowstone National Park,256
208,Vascular Plant,Phlox pulvinata,"Powder Phlox, Cushion Phlox",None,Great Smoky Mountains National Park,70
209,Vascular Plant,Phlox pulvinata,"Powder Phlox, Cushion Phlox",None,Yellowstone National Park,248
210,Vascular Plant,Phlox pulvinata,"Powder Phlox, Cushion Phlox",None,Yosemite National Park,171
211,Vascular Plant,Phlox pulvinata,"Powder Phlox, Cushion Phlox",None,Bryce National Park,97
212,Vascular Plant,Phlox multiflora,"Rocky Mountain Phlox, Flowery Phlox",None,Bryce National Park,93
213,Vascular Plant,Phlox multiflora,"Rocky Mountain Phlox, Flowery Phlox",None,Yosemite National Park,157
214,Vascular Plant,Phlox multiflora,"Rocky Mountain Phlox, Flowery Phlox",None,Great Smoky Mountains National Park,75
215,Vascular Plant,Phlox multiflora,"Rocky Mountain Phlox, Flowery Phlox",None,Yellowstone National Park,296
216,Vascular Plant,Phlox hoodii,"Spiny Phlox, Hood's Phlox",None,Great Smoky Mountains National Park,101
217,Vascular Plant,Phlox hoodii,"Spiny Phlox, Hood's Phlox",None,Yosemite National Park,135
218,Vascular Plant,Phlox hoodii,"Spiny Phlox, Hood's Phlox",None,Bryce National Park,98
219,Vascular Plant,Phlox hoodii,"Spiny Phlox, Hood's Phlox",None,Yellowstone National Park,251
220,Vascular Plant,Dodecatheon conjugens,Bonneville Shootingstar,None,Great Smoky Mountains National Park,75
221,Vascular Plant,Dodecatheon conjugens,Bonneville Shootingstar,None,Yosemite National Park,152
222,Vascular Plant,Dodecatheon conjugens,Bonneville Shootingstar,None,Yellowstone National Park,240
223,Vascular Plant,Dodecatheon conjugens,Bonneville Shootingstar,None,Bryce National Park,89
224,Vascular Plant,Astragalus cicer,"Cicer Milkvetch, Chickpea Milkvetch",None,Yosemite National Park,149
225,Vascular Plant,Astragalus cicer,"Cicer Milkvetch, Chickpea Milkvetch",None,Yellowstone National Park,249
226,Vascular Plant,Astragalus cicer,"Cicer Milkvetch, Chickpea Milkvetch",None,Bryce National Park,119
227,Vascular Plant,Astragalus cicer,"Cicer Milkvetch, Chickpea Milkvetch",None,Great Smoky Mountains National Park,87
228,Vascular Plant,Astragalus crassicarpus var. paysonii,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",None,Great Smoky Mountains National Park,45
229,Vascular Plant,Astragalus crassicarpus var. paysonii,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",None,Yosemite National Park,167
230,Vascular Plant,Astragalus crassicarpus var. paysonii,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",None,Yellowstone National Park,257
231,Vascular Plant,Astragalus crassicarpus var. paysonii,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",None,Bryce National Park,85
232,Vascular Plant,Astragalus drummondii,"Drummond's Milkvetch, Drummond Milkvetch, Drummond's Milk-Vetch",None,Yosemite National Park,153
233,Vascular Plant,Astragalus drummondii,"Drummond's Milkvetch, Drummond Milkvetch, Drummond's Milk-Vetch",None,Bryce National Park,74
234,Vascular Plant,Astragalus drummondii,"Drummond's Milkvetch, Drummond Milkvetch, Drummond's Milk-Vetch",None,Yellowstone National Park,230
235,Vascular Plant,Astragalus drummondii,"Drummond's Milkvetch, Drummond Milkvetch, Drummond's Milk-Vetch",None,Great Smoky Mountains National Park,79
236,Vascular Plant,Lupinus sericeus,"Pursh's Silky Lupine, Silky Lupine",None,Yosemite National Park,117
237,Vascular Plant,Lupinus sericeus,"Pursh's Silky Lupine, Silky Lupine",None,Bryce National Park,134
238,Vascular Plant,Lupinus sericeus,"Pursh's Silky Lupine, Silky Lupine",None,Yellowstone National Park,244
239,Vascular Plant,Lupinus sericeus,"Pursh's Silky Lupine, Silky Lupine",None,Great Smoky Mountains National Park,44
240,Vascular Plant,Lupinus argenteus var. laxiflorus,Silvery Lupine,None,Yellowstone National Park,226
241,Vascular Plant,Lupinus argenteus var. laxiflorus,Silvery Lupine,None,Bryce National Park,93
242,Vascular Plant,Lupinus argenteus var. laxiflorus,Silvery Lupine,None,Yosemite National Park,159
243,Vascular Plant,Lupinus argenteus var. laxiflorus,Silvery Lupine,None,Great Smoky Mountains National Park,109
244,Vascular Plant,Lupinus argenteus var. argenteus,"Silver-Stem Lupine, Silvery Lupine",None,Bryce National Park,58
245,Vascular Plant,Lupinus argenteus var. argenteus,"Silver-Stem Lupine, Silvery Lupine",None,Great Smoky Mountains National Park,95
246,Vascular Plant,Lupinus argenteus var. argenteus,"Silver-Stem Lupine, Silvery Lupine",None,Yosemite National Park,126
247,Vascular Plant,Lupinus argenteus var. argenteus,"Silver-Stem Lupine, Silvery Lupine",None,Yellowstone National Park,271
248,Vascular Plant,Hedysarum sulphurescens,White Sweetvetch,None,Yosemite National Park,143
249,Vascular Plant,Hedysarum sulphurescens,White Sweetvetch,None,Great Smoky Mountains National Park,102
