,category,scientific_name,conservation_status,common_names,park_name,observations
67,Vascular Plant,Gentianopsis simplex,None,"Oneflower Fringed Gentian, Oneflower Gentian",Great Smoky Mountains National Park,84
68,Vascular Plant,Dracocephalum parviflorum,None,American Dragonhead,Yellowstone National Park,316
69,Vascular Plant,Dracocephalum parviflorum,None,American Dragonhead,Yosemite National Park,116
70,Vascular Plant,Dracocephalum parviflorum,None,American Dragonhead,Great Smoky Mountains National Park,95
71,Vascular Plant,Dracocephalum parviflorum,None,American Dragonhead,Bryce National Park,80
72,Vascular Plant,Agastache urticifolia,None,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",Great Smoky Mountains National Park,57
73,Vascular Plant,Agastache urticifolia,None,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",Bryce National Park,95
74,Vascular Plant,Agastache urticifolia,None,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",Yellowstone National Park,236
75,Vascular Plant,Agastache urticifolia,None,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",Yosemite National Park,144
76,Vascular Plant,Isoetes occidentalis,None,Western Quillwort,Bryce National Park,116
77,Vascular Plant,Isoetes occidentalis,None,Western Quillwort,Yosemite National Park,145
78,Vascular Plant,Isoetes occidentalis,None,Western Quillwort,Great Smoky Mountains National Park,83
79,Vascular Plant,Isoetes occidentalis,None,Western Quillwort,Yellowstone National Park,284
80,Vascular Plant,Isoetes echinospora,None,"Spiny-Spore Quillwort, IsoTe _ Spores _Pineuses",Yosemite National Park,123
81,Vascular Plant,Isoetes echinospora,None,"Spiny-Spore Quillwort, IsoTe _ Spores _Pineuses",Yellowstone National Park,258
82,Vascular Plant,Isoetes echinospora,None,"Spiny-Spore Quillwort, IsoTe _ Spores _Pineuses",Great Smoky Mountains National Park,86
83,Vascular Plant,Isoetes echinospora,None,"Spiny-Spore Quillwort, IsoTe _ Spores _Pineuses",Bryce National Park,84
84,Vascular Plant,Isoetes bolanderi,None,Bolander's Quillwort,Yellowstone National Park,240
85,Vascular Plant,Isoetes bolanderi,None,Bolander's Quillwort,Bryce National Park,113
86,Vascular Plant,Isoetes bolanderi,None,Bolander's Quillwort,Great Smoky Mountains National Park,72
87,Vascular Plant,Isoetes bolanderi,None,Bolander's Quillwort,Yosemite National Park,131
88,Vascular Plant,Geranium viscosissimum var. viscosissimum,None,Sticky Purple Geranium,Yosemite National Park,178
89,Vascular Plant,Geranium viscosissimum var. viscosissimum,None,Sticky Purple Geranium,Great Smoky Mountains National Park,75
90,Vascular Plant,Geranium viscosissimum var. viscosissimum,None,Sticky Purple Geranium,Bryce National Park,90
91,Vascular Plant,Geranium viscosissimum var. viscosissimum,None,Sticky Purple Geranium,Yellowstone National Park,248
92,Vascular Plant,Geranium viscosissimum var. nervosum,None,Sticky Purple Geranium,Yellowstone National Park,272
93,Vascular Plant,Geranium viscosissimum var. nervosum,None,Sticky Purple Geranium,Bryce National Park,101
94,Vascular Plant,Geranium viscosissimum var. nervosum,None,Sticky Purple Geranium,Yosemite National Park,163
95,Vascular Plant,Geranium viscosissimum var. nervosum,None,Sticky Purple Geranium,Great Smoky Mountains National Park,115
96,Vascular Plant,Geranium richardsonii,None,Richardson's Geranium,Yellowstone National Park,271
97,Vascular Plant,Geranium richardsonii,None,Richardson's Geranium,Yosemite National Park,126
98,Vascular Plant,Geranium richardsonii,None,Richardson's Geranium,Bryce National Park,90
99,Vascular Plant,Geranium richardsonii,None,Richardson's Geranium,Great Smoky Mountains National Park,34
100,Vascular Plant,Gentianella tenella,None,"Lapland Gentian, Dane's Dwarfgentian, Dane's Dwarf Gentian",Yosemite National Park,106
101,Vascular Plant,Gentianella tenella,None,"Lapland Gentian, Dane's Dwarfgentian, Dane's Dwarf Gentian",Great Smoky Mountains National Park,102
102,Vascular Plant,Gentianella tenella,None,"Lapland Gentian, Dane's Dwarfgentian, Dane's Dwarf Gentian",Bryce National Park,88
103,Vascular Plant,Gentianella tenella,None,"Lapland Gentian, Dane's Dwarfgentian, Dane's Dwarf Gentian",Yellowstone National Park,260
104,Vascular Plant,Geranium bicknellii,None,"Bicknell's Cranesbill, Northern Crane's-Bill",Great Smoky Mountains National Park,56
105,Vascular Plant,Geranium bicknellii,None,"Bicknell's Cranesbill, Northern Crane's-Bill",Yosemite National Park,141
106,Vascular Plant,Geranium bicknellii,None,"Bicknell's Cranesbill, Northern Crane's-Bill",Yellowstone National Park,259
107,Vascular Plant,Geranium bicknellii,None,"Bicknell's Cranesbill, Northern Crane's-Bill",Bryce National Park,116
108,Vascular Plant,Kelloggia galioides,None,"Milk Kelloggia, Milky Kelloggia",Yellowstone National Park,246
109,Vascular Plant,Kelloggia galioides,None,"Milk Kelloggia, Milky Kelloggia",Great Smoky Mountains National Park,76
110,Vascular Plant,Kelloggia galioides,None,"Milk Kelloggia, Milky Kelloggia",Bryce National Park,127
111,Vascular Plant,Kelloggia galioides,None,"Milk Kelloggia, Milky Kelloggia",Yosemite National Park,150
112,Vascular Plant,Galium verum,None,Yellow Spring Bedstraw,Yosemite National Park,132
113,Vascular Plant,Galium verum,None,Yellow Spring Bedstraw,Great Smoky Mountains National Park,75
114,Vascular Plant,Galium verum,None,Yellow Spring Bedstraw,Yellowstone National Park,183
115,Vascular Plant,Galium verum,None,Yellow Spring Bedstraw,Bryce National Park,121
116,Vascular Plant,Galium trifidum,None,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Yosemite National Park,141
117,Vascular Plant,Galium trifidum,None,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Bryce National Park,97
118,Vascular Plant,Galium trifidum,None,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Yellowstone National Park,228
119,Vascular Plant,Galium trifidum,None,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw",Great Smoky Mountains National Park,127
120,Vascular Plant,Galium mollugo,None,False Baby's Breath,Yellowstone National Park,210
121,Vascular Plant,Galium mollugo,None,False Baby's Breath,Great Smoky Mountains National Park,98
122,Vascular Plant,Galium mollugo,None,False Baby's Breath,Bryce National Park,109
123,Vascular Plant,Galium mollugo,None,False Baby's Breath,Yosemite National Park,146
124,Vascular Plant,Galium boreale,None,Northern Bedstraw,Yellowstone National Park,252
125,Vascular Plant,Galium boreale,None,Northern Bedstraw,Great Smoky Mountains National Park,99
126,Vascular Plant,Galium boreale,None,Northern Bedstraw,Bryce National Park,79
127,Vascular Plant,Galium boreale,None,Northern Bedstraw,Yosemite National Park,137
128,Vascular Plant,Galium bifolium,None,"Twinleaf Bedstraw, Twin-Leaf Bedstraw",Bryce National Park,40
129,Vascular Plant,Galium bifolium,None,"Twinleaf Bedstraw, Twin-Leaf Bedstraw",Yellowstone National Park,238
130,Vascular Plant,Galium bifolium,None,"Twinleaf Bedstraw, Twin-Leaf Bedstraw",Yosemite National Park,159
131,Vascular Plant,Galium bifolium,None,"Twinleaf Bedstraw, Twin-Leaf Bedstraw",Great Smoky Mountains National Park,65
132,Vascular Plant,Swertia perennis,None,"Star Gentian, Felwort, Alpinebog Swertia",Great Smoky Mountains National Park,85
133,Vascular Plant,Swertia perennis,None,"Star Gentian, Felwort, Alpinebog Swertia",Bryce National Park,121
134,Vascular Plant,Swertia perennis,None,"Star Gentian, Felwort, Alpinebog Swertia",Yellowstone National Park,232
135,Vascular Plant,Swertia perennis,None,"Star Gentian, Felwort, Alpinebog Swertia",Yosemite National Park,168
136,Vascular Plant,Oxytropis campestris var. cusickii,None,Cusick's Locoweed,Bryce National Park,70
137,Vascular Plant,Oxytropis campestris var. cusickii,None,Cusick's Locoweed,Yellowstone National Park,235
138,Vascular Plant,Oxytropis campestris var. cusickii,None,Cusick's Locoweed,Yosemite National Park,130
139,Vascular Plant,Oxytropis campestris var. cusickii,None,Cusick's Locoweed,Great Smoky Mountains National Park,55
140,Vascular Plant,Oxytropis borealis var. viscida,None,"Sticky Crazyweed, Sticky Pointloco, Viscid Locoweed",Yellowstone National Park,217
141,Vascular Plant,Oxytropis borealis var. viscida,None,"Sticky Crazyweed, Sticky Pointloco, Viscid Locoweed",Great Smoky Mountains National Park,76
142,Vascular Plant,Oxytropis borealis var. viscida,None,"Sticky Crazyweed, Sticky Pointloco, Viscid Locoweed",Bryce National Park,117
143,Vascular Plant,Oxytropis borealis var. viscida,None,"Sticky Crazyweed, Sticky Pointloco, Viscid Locoweed",Yosemite National Park,130
144,Vascular Plant,Onobrychis viciifolia,None,"Common Sainfoin, Sainfoin",Great Smoky Mountains National Park,78
145,Vascular Plant,Onobrychis viciifolia,None,"Common Sainfoin, Sainfoin",Bryce National Park,99
146,Vascular Plant,Onobrychis viciifolia,None,"Common Sainfoin, Sainfoin",Yosemite National Park,141
147,Vascular Plant,Onobrychis viciifolia,None,"Common Sainfoin, Sainfoin",Yellowstone National Park,261
148,Vascular Plant,Astragalus canadensis var. brevidens,None,Shorttooth Canadian Milkvetch,Bryce National Park,106
149,Vascular Plant,Astragalus canadensis var. brevidens,None,Shorttooth Canadian Milkvetch,Yosemite National Park,158
150,Vascular Plant,Astragalus canadensis var. brevidens,None,Shorttooth Canadian Milkvetch,Great Smoky Mountains National Park,90
151,Vascular Plant,Astragalus canadensis var. brevidens,None,Shorttooth Canadian Milkvetch,Yellowstone National Park,227
152,Vascular Plant,Astragalus australis var. glabriusculus,None,Aboriginal Milkvetch,Bryce National Park,115
153,Vascular Plant,Astragalus australis var. glabriusculus,None,Aboriginal Milkvetch,Great Smoky Mountains National Park,68
154,Vascular Plant,Astragalus australis var. glabriusculus,None,Aboriginal Milkvetch,Yosemite National Park,144
155,Vascular Plant,Astragalus australis var. glabriusculus,None,Aboriginal Milkvetch,Yellowstone National Park,237
156,Vascular Plant,Astragalus americanus,None,"American Milkvetch, American Milk-Vetch",Bryce National Park,107
157,Vascular Plant,Astragalus americanus,None,"American Milkvetch, American Milk-Vetch",Yellowstone National Park,211
158,Vascular Plant,Astragalus americanus,None,"American Milkvetch, American Milk-Vetch",Yosemite National Park,174
159,Vascular Plant,Astragalus americanus,None,"American Milkvetch, American Milk-Vetch",Great Smoky Mountains National Park,89
160,Vascular Plant,Astragalus alpinus,None,Alpine Milkvetch,Great Smoky Mountains National Park,82
161,Vascular Plant,Astragalus alpinus,None,Alpine Milkvetch,Bryce National Park,99
162,Vascular Plant,Astragalus alpinus,None,Alpine Milkvetch,Yellowstone National Park,252
163,Vascular Plant,Astragalus alpinus,None,Alpine Milkvetch,Yosemite National Park,156
164,Vascular Plant,Astragalus agrestis,None,"Purple Milkvetch, Field Milkvetch, Cock's-Head",Yosemite National Park,151
165,Vascular Plant,Astragalus agrestis,None,"Purple Milkvetch, Field Milkvetch, Cock's-Head",Bryce National Park,93
166,Vascular Plant,Astragalus agrestis,None,"Purple Milkvetch, Field Milkvetch, Cock's-Head",Yellowstone National Park,236
167,Vascular Plant,Astragalus agrestis,None,"Purple Milkvetch, Field Milkvetch, Cock's-Head",Great Smoky Mountains National Park,74
168,Vascular Plant,Primula incana,None,"Silvery Primrose, Hoary Primrose",Yosemite National Park,136
169,Vascular Plant,Primula incana,None,"Silvery Primrose, Hoary Primrose",Bryce National Park,82
170,Vascular Plant,Primula incana,None,"Silvery Primrose, Hoary Primrose",Yellowstone National Park,240
171,Vascular Plant,Primula incana,None,"Silvery Primrose, Hoary Primrose",Great Smoky Mountains National Park,92
172,Vascular Plant,Lysimachia thyrsiflora,None,"Tufted Yellow-Loosestrife, Water Loosestrife, Tufted Loosestrife, Swamp Loosestrife",Yellowstone National Park,228
173,Vascular Plant,Lysimachia thyrsiflora,None,"Tufted Yellow-Loosestrife, Water Loosestrife, Tufted Loosestrife, Swamp Loosestrife",Great Smoky Mountains National Park,53
174,Vascular Plant,Lysimachia thyrsiflora,None,"Tufted Yellow-Loosestrife, Water Loosestrife, Tufted Loosestrife, Swamp Loosestrife",Yosemite National Park,151
175,Vascular Plant,Lysimachia thyrsiflora,None,"Tufted Yellow-Loosestrife, Water Loosestrife, Tufted Loosestrife, Swamp Loosestrife",Bryce National Park,88
176,Vascular Plant,Glaux maritima,None,Sea-Milkwort,Yellowstone National Park,215
177,Vascular Plant,Glaux maritima,None,Sea-Milkwort,Yosemite National Park,116
178,Vascular Plant,Glaux maritima,None,Sea-Milkwort,Great Smoky Mountains National Park,34
179,Vascular Plant,Glaux maritima,None,Sea-Milkwort,Bryce National Park,98
180,Vascular Plant,Astragalus cibarius,None,Browse Milkvetch,Yosemite National Park,153
181,Vascular Plant,Astragalus cibarius,None,Browse Milkvetch,Great Smoky Mountains National Park,94
182,Vascular Plant,Astragalus cibarius,None,Browse Milkvetch,Yellowstone National Park,246
183,Vascular Plant,Astragalus cibarius,None,Browse Milkvetch,Bryce National Park,85
184,Vascular Plant,Douglasia montana,None,Rocky Mountain Dwarf-Primrose,Bryce National Park,75
185,Vascular Plant,Douglasia montana,None,Rocky Mountain Dwarf-Primrose,Great Smoky Mountains National Park,47
186,Vascular Plant,Douglasia montana,None,Rocky Mountain Dwarf-Primrose,Yellowstone National Park,236
187,Vascular Plant,Douglasia montana,None,Rocky Mountain Dwarf-Primrose,Yosemite National Park,117
188,Vascular Plant,Androsace occidentalis,None,"Western Rock-Jasmine, Western Rockjasmine",Yellowstone National Park,248
189,Vascular Plant,Androsace occidentalis,None,"Western Rock-Jasmine, Western Rockjasmine",Great Smoky Mountains National Park,50
190,Vascular Plant,Androsace occidentalis,None,"Western Rock-Jasmine, Western Rockjasmine",Yosemite National Park,120
191,Vascular Plant,Androsace occidentalis,None,"Western Rock-Jasmine, Western Rockjasmine",Bryce National Park,77
192,Vascular Plant,Androsace filiformis,None,"Slender-Stemmed Androsace, Slender Rockjasmine, Filiform Rockjasmine",Yellowstone National Park,265
193,Vascular Plant,Androsace filiformis,None,"Slender-Stemmed Androsace, Slender Rockjasmine, Filiform Rockjasmine",Great Smoky Mountains National Park,87
194,Vascular Plant,Androsace filiformis,None,"Slender-Stemmed Androsace, Slender Rockjasmine, Filiform Rockjasmine",Yosemite National Park,150
195,Vascular Plant,Androsace filiformis,None,"Slender-Stemmed Androsace, Slender Rockjasmine, Filiform Rockjasmine",Bryce National Park,116
196,Vascular Plant,Polemonium viscosum,None,"Sticky Polemonium, Sticky Jacob's-Ladder",Yosemite National Park,184
197,Vascular Plant,Polemonium viscosum,None,"Sticky Polemonium, Sticky Jacob's-Ladder",Bryce National Park,104
198,Vascular Plant,Polemonium viscosum,None,"Sticky Polemonium, Sticky Jacob's-Ladder",Yellowstone National Park,217
199,Vascular Plant,Polemonium viscosum,None,"Sticky Polemonium, Sticky Jacob's-Ladder",Great Smoky Mountains National Park,107
200,Vascular Plant,Polemonium occidentale,None,"Western Polemonium, Western Jacob's-Ladder",Yellowstone National Park,255
201,Vascular Plant,Polemonium occidentale,None,"Western Polemonium, Western Jacob's-Ladder",Great Smoky Mountains National Park,54
202,Vascular Plant,Polemonium occidentale,None,"Western Polemonium, Western Jacob's-Ladder",Yosemite National Park,143
203,Vascular Plant,Polemonium occidentale,None,"Western Polemonium, Western Jacob's-Ladder",Bryce National Park,104
204,Vascular Plant,Polemonium micranthum,None,"Annual Jacob's-Ladder, Littlebell Jacob's-Ladder, Annual Polemonium",Bryce National Park,89
205,Vascular Plant,Polemonium micranthum,None,"Annual Jacob's-Ladder, Littlebell Jacob's-Ladder, Annual Polemonium",Great Smoky Mountains National Park,83
206,Vascular Plant,Polemonium micranthum,None,"Annual Jacob's-Ladder, Littlebell Jacob's-Ladder, Annual Polemonium",Yosemite National Park,148
207,Vascular Plant,Polemonium micranthum,None,"Annual Jacob's-Ladder, Littlebell Jacob's-Ladder, Annual Polemonium",Yellowstone National Park,256
208,Vascular Plant,Phlox pulvinata,None,"Powder Phlox, Cushion Phlox",Great Smoky Mountains National Park,70
209,Vascular Plant,Phlox pulvinata,None,"Powder Phlox, Cushion Phlox",Yellowstone National Park,248
210,Vascular Plant,Phlox pulvinata,None,"Powder Phlox, Cushion Phlox",Yosemite National Park,171
211,Vascular Plant,Phlox pulvinata,None,"Powder Phlox, Cushion Phlox",Bryce National Park,97
212,Vascular Plant,Phlox multiflora,None,"Rocky Mountain Phlox, Flowery Phlox",Bryce National Park,93
213,Vascular Plant,Phlox multiflora,None,"Rocky Mountain Phlox, Flowery Phlox",Yosemite National Park,157
214,Vascular Plant,Phlox multiflora,None,"Rocky Mountain Phlox, Flowery Phlox",Great Smoky Mountains National Park,75
215,Vascular Plant,Phlox multiflora,None,"Rocky Mountain Phlox, Flowery Phlox",Yellowstone National Park,296
216,Vascular Plant,Phlox hoodii,None,"Hood's Phlox, Spiny Phlox",Great Smoky Mountains National Park,101
217,Vascular Plant,Phlox hoodii,None,"Hood's Phlox, Spiny Phlox",Yosemite National Park,135
218,Vascular Plant,Phlox hoodii,None,"Hood's Phlox, Spiny Phlox",Bryce National Park,98
219,Vascular Plant,Phlox hoodii,None,"Hood's Phlox, Spiny Phlox",Yellowstone National Park,251
220,Vascular Plant,Dodecatheon conjugens,None,Bonneville Shootingstar,Great Smoky Mountains National Park,75
221,Vascular Plant,Dodecatheon conjugens,None,Bonneville Shootingstar,Yosemite National Park,152
222,Vascular Plant,Dodecatheon conjugens,None,Bonneville Shootingstar,Yellowstone National Park,240
223,Vascular Plant,Dodecatheon conjugens,None,Bonneville Shootingstar,Bryce National Park,89
224,Vascular Plant,Astragalus cicer,None,"Cicer Milkvetch, Chickpea Milkvetch",Yosemite National Park,149
225,Vascular Plant,Astragalus cicer,None,"Cicer Milkvetch, Chickpea Milkvetch",Yellowstone National Park,249
226,Vascular Plant,Astragalus cicer,None,"Cicer Milkvetch, Chickpea Milkvetch",Bryce National Park,119
227,Vascular Plant,Astragalus cicer,None,"Cicer Milkvetch, Chickpea Milkvetch",Great Smoky Mountains National Park,87
228,Vascular Plant,Astragalus crassicarpus var. paysonii,None,"Mountain Groundplum, Groundplum Milkvetch, Payson's Milkvetch",Great Smoky Mountains National Park,45
229,Vascular Plant,Astragalus crassicarpus var. paysonii,None,"Mountain Groundplum, Groundplum Milkvetch, Payson's Milkvetch",Yosemite National Park,167
230,Vascular Plant,Astragalus crassicarpus var. paysonii,None,"Mountain Groundplum, Groundplum Milkvetch, Payson's Milkvetch",Yellowstone National Park,257
231,Vascular Plant,Astragalus crassicarpus var. paysonii,None,"Mountain Groundplum, Groundplum Milkvetch, Payson's Milkvetch",Bryce National Park,85
232,Vascular Plant,Astragalus drummondii,None,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Yosemite National Park,153
233,Vascular Plant,Astragalus drummondii,None,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Bryce National Park,74
234,Vascular Plant,Astragalus drummondii,None,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Yellowstone National Park,230
235,Vascular Plant,Astragalus drummondii,None,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch",Great Smoky Mountains National Park,79
236,Vascular Plant,Lupinus sericeus,None,"Silky Lupine, Pursh's Silky Lupine",Yosemite National Park,117
237,Vascular Plant,Lupinus sericeus,None,"Silky Lupine, Pursh's Silky Lupine",Bryce National Park,134
238,Vascular Plant,Lupinus sericeus,None,"Silky Lupine, Pursh's Silky Lupine",Yellowstone National Park,244
239,Vascular Plant,Lupinus sericeus,None,"Silky Lupine, Pursh's Silky Lupine",Great Smoky Mountains National Park,44
240,Vascular Plant,Lupinus argenteus var. laxiflorus,None,Silvery Lupine,Yellowstone National Park,226
241,Vascular Plant,Lupinus argenteus var. laxiflorus,None,Silvery Lupine,Bryce National Park,93
242,Vascular Plant,Lupinus argenteus var. laxiflorus,None,Silvery Lupine,Yosemite National Park,159
243,Vascular Plant,Lupinus argenteus var. laxiflorus,None,Silvery Lupine,Great Smoky Mountains National Park,109
244,Vascular Plant,Lupinus argenteus var. argenteus,None,"Silver-Stem Lupine, Silvery Lupine",Bryce National Park,58
245,Vascular Plant,Lupinus argenteus var. argenteus,None,"Silver-Stem Lupine, Silvery Lupine",Great Smoky Mountains National Park,95
246,Vascular Plant,Lupinus argenteus var. argenteus,None,"Silver-Stem Lupine, Silvery Lupine",Yosemite National Park,126
247,Vascular Plant,Lupinus argenteus var. argenteus,None,"Silver-Stem Lupine, Silvery Lupine",Yellowstone National Park,271
248,Vascular Plant,Hedysarum sulphurescens,None,White Sweetvetch,Yosemite National Park,143
249,Vascular Plant,Hedysarum sulphurescens,None,White Sweetvetch,Great Smoky Mountains National Park,102
