,category,scientific_name,conservation_status,common_names
3888,Vascular Plant,Galium trifidum,None,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw"
3887,Vascular Plant,Galium mollugo,None,False Baby's Breath
3886,Vascular Plant,Galium boreale,None,Northern Bedstraw
3885,Vascular Plant,Galium bifolium,None,"Twin-Leaf Bedstraw, Twinleaf Bedstraw"
3884,Vascular Plant,Swertia perennis,None,"Felwort, Star Gentian, Alpinebog Swertia"
3860,Vascular Plant,Oxytropis campestris var. cusickii,None,Cusick's Locoweed
3859,Vascular Plant,Oxytropis borealis var. viscida,None,"Sticky Crazyweed, Viscid Locoweed, Sticky Pointloco"
3858,Vascular Plant,Onobrychis viciifolia,None,"Common Sainfoin, Sainfoin"
3834,Vascular Plant,Astragalus canadensis var. brevidens,None,Shorttooth Canadian Milkvetch
3833,Vascular Plant,Astragalus australis var. glabriusculus,None,Aboriginal Milkvetch
3832,Vascular Plant,Astragalus americanus,None,"American Milk-Vetch, American Milkvetch"
3831,Vascular Plant,Astragalus alpinus,None,Alpine Milkvetch
3830,Vascular Plant,Astragalus agrestis,None,"Field Milkvetch, Purple Milkvetch, Cock's-Head"
3829,Vascular Plant,Primula incana,None,"Silvery Primrose, Hoary Primrose"
3828,Vascular Plant,Lysimachia thyrsiflora,None,"Tufted Yellow-Loosestrife, Water Loosestrife, Tufted Loosestrife, Swamp Loosestrife"
3827,Vascular Plant,Glaux maritima,None,Sea-Milkwort
3835,Vascular Plant,Astragalus cibarius,None,Browse Milkvetch
3826,Vascular Plant,Douglasia montana,None,Rocky Mountain Dwarf-Primrose
3824,Vascular Plant,Androsace occidentalis,None,"Western Rock-Jasmine, Western Rockjasmine"
3823,Vascular Plant,Androsace filiformis,None,"Slender-Stemmed Androsace, Filiform Rockjasmine, Slender Rockjasmine"
3822,Vascular Plant,Polemonium viscosum,None,"Sticky Jacob's-Ladder, Sticky Polemonium"
3821,Vascular Plant,Polemonium occidentale,None,"Western Jacob's-Ladder, Western Polemonium"
3820,Vascular Plant,Polemonium micranthum,None,"Annual Jacob's-Ladder, Littlebell Jacob's-Ladder, Annual Polemonium"
3819,Vascular Plant,Phlox pulvinata,None,"Cushion Phlox, Powder Phlox"
3818,Vascular Plant,Phlox multiflora,None,"Rocky Mountain Phlox, Flowery Phlox"
3817,Vascular Plant,Phlox hoodii,None,"Spiny Phlox, Hood's Phlox"
3825,Vascular Plant,Dodecatheon conjugens,None,Bonneville Shootingstar
3836,Vascular Plant,Astragalus cicer,None,"Chickpea Milkvetch, Cicer Milkvetch"
3837,Vascular Plant,Astragalus crassicarpus var. paysonii,None,"Payson's Milkvetch, Groundplum Milkvetch, Mountain Groundplum"
3838,Vascular Plant,Astragalus drummondii,None,"Drummond Milkvetch, Drummond's Milk-Vetch, Drummond's Milkvetch"
3854,Vascular Plant,Lupinus sericeus,None,"Pursh's Silky Lupine, Silky Lupine"
3853,Vascular Plant,Lupinus argenteus var. laxiflorus,None,Silvery Lupine
3852,Vascular Plant,Lupinus argenteus var. argenteus,None,"Silvery Lupine, Silver-Stem Lupine"
3851,Vascular Plant,Hedysarum sulphurescens,None,White Sweetvetch
3850,Vascular Plant,Hedysarum occidentale,None,Western Sweetvetch
3849,Vascular Plant,Hedysarum alpinum var. americanum,None,American Alpine Sweetvetch
3848,Vascular Plant,Astragalus vexilliflexus var. vexilliflexus,None,"Bentflower Milkvetch, Bent-Flower Milk-Vetch"
3847,Vascular Plant,Astragalus purshii var. purshii,None,"Woollypod Milkvetch, Pursh's Milkvetch, Pursh's Milk-Vetch"
3846,Vascular Plant,Astragalus missouriensis,None,"Missouri Milk-Vetch, Missouri Milkvetch"
3845,Vascular Plant,Astragalus miser var. praeteritus,None,Yellowstone Milkvetch
3844,Vascular Plant,Astragalus miser var. hylophilus,None,Woody Milkvetch
3843,Vascular Plant,Astragalus lotiflorus,None,"Low Milkvetch, Lotus Milkvetch, Milkvetch, Lotus Milk-Vetch"
3842,Vascular Plant,Astragalus laxmannii var. robustior,None,Prairie Milkvetch
3841,Vascular Plant,Astragalus kentrophyta var. tegetarius,None,Mat Milkvetch
3840,Vascular Plant,Astragalus inflexus,None,Bent Milkvetch
3839,Vascular Plant,Astragalus gilviflorus var. gilviflorus,None,Plains Milkvetch
3902,Vascular Plant,Dracocephalum thymiflorum,None,"Thyme-Leaf Dragonhead, Thymeleaf Dragonhead"
3903,Vascular Plant,Galeopsis ladanum,None,Red Hempnettle
3970,Vascular Plant,Veronica biloba,None,"Twolobe Speedwell, Twolobed Speedwell, Bilobed Speedwell"
3968,Vascular Plant,Veronica americana,None,"Brooklime, American Speedwell"
3967,Vascular Plant,Plantago tweedyi,None,Tweedy's Plantain
3964,Vascular Plant,Plantago eriopoda,None,"Saline Plantain, Alkali Plantain, Red-Woolly Plantain, Redwool Plantain, Redwood Plantain"
3963,Vascular Plant,Plantago elongata,None,"Prairie Plantain, Longleaf Plantain, Slender Plantain"
3971,Vascular Plant,Veronica scutellata,None,"Grassleaf Speedwell, Marsh Speedwell, Skullcap Speedwell, Grass-Leaf Speedwell"
3962,Vascular Plant,Penstemon whippleanus,None,"Whipple's Penstemon, Dark Beardtongue"
3960,Vascular Plant,Penstemon radicosus,None,Matroot Penstemon
3959,Vascular Plant,Penstemon procerus,None,"Littleflower Penstemon, Pincushion Beardtongue"
3958,Vascular Plant,Penstemon montanus var. montanus,None,Cordroot Beardtongue
3957,Vascular Plant,Penstemon humilis,None,"Low Penstemon, Low Beardtongue"
3956,Vascular Plant,Penstemon fruticosus,None,Bush Penstemon
3955,Vascular Plant,Penstemon deustus,None,Scabland Penstemon
3954,Vascular Plant,Penstemon cyaneus,None,Blue Penstemon
3953,Vascular Plant,Penstemon attenuatus var. pseudoprocerus,None,Small Penstemon
3961,Vascular Plant,Penstemon rydbergii var. rydbergii,None,Swollen Penstemon
3972,Vascular Plant,Veronica verna,None,Spring Speedwell
3973,Vascular Plant,Veronica wormskjoldii,None,American Alpine Speedwell
3974,Vascular Plant,Scrophularia lanceolata,None,Lanceleaf Figwort
3993,Vascular Plant,Euphorbia esula,None,"Wolf's Milk, Spurge, Wolf's-Milk, Leafy Spurge"
3992,Vascular Plant,Chamaesyce serpyllifolia,None,"Thyme-Leaf Sandmat, Thymeleaf Sandmat"
3991,Vascular Plant,Chamaesyce maculata,None,"Spotted Sandmat, Large Spurge, Spotted Spurge"
3990,Vascular Plant,Chamaesyce glyptosperma,None,"Ribseed Sandmat, Ridgeseed Spurge, Rib-Seed Sandmat"
3989,Vascular Plant,Elatine rubella,None,Southwestern Waterwort
3987,Vascular Plant,Lycopodiella inundata,None,Inundated Clubmoss
3986,Vascular Plant,Zigadenus venenosus var. gramineus,None,"Deathcamas, Grassy Deathcamas"
3985,Vascular Plant,Zigadenus elegans,None,Mountain Deathcamas
3984,Vascular Plant,Xerophyllum tenax,None,Common Beargrass
3983,Vascular Plant,Streptopus amplexifolius,None,"Twisted Stalk, Clasping Twistedstalk, Claspleaf Twistedstalk"
3982,Vascular Plant,Prosartes trachycarpa,None,Roughfruit Fairybells
3981,Vascular Plant,Lloydia serotina,None,"Alpine Lily, Common Alplily, Alplily"
3980,Vascular Plant,Fritillaria pudica,None,"Yellow Fritillary, Yellow Missionbells, Yellow Bells, Yellowbells"
3979,Vascular Plant,Fritillaria atropurpurea,None,"Leopard Lily, Spotted Missionbells, Spotted Fritillary"
3978,Vascular Plant,Calochortus eurycarpus,None,"Bigpod Mariposa Lily, White Mariposa Lily"
3977,Vascular Plant,Verbena stricta,None,"Woolly Verbena, Hoary Verbena, Tall Vervain, Hoary Vervain"
3976,Vascular Plant,Verbena bracteata,None,"Prostrate Verbena, Carpet Vervain, Bigbract Verbena, Prostrate Vervain, Bracted Vervain"
3952,Vascular Plant,Penstemon aridus,None,Stiffleaf Penstemon
3816,Vascular Plant,Microsteris gracilis var. humilior,None,Slender Phlox
3949,Vascular Plant,Limosella aquatica,None,"Northern Mudwort, Awlleaf Mudwort, Awl-Leaf Mudwort, Water Mudwort"
3923,Vascular Plant,Castilleja pulchella,None,Beautiful Indian Paintbrush
3922,Vascular Plant,Castilleja pilosa var. longispica,None,Longspike Indian Paintbrush
3921,Vascular Plant,Castilleja pallescens,None,"Pale Indian Paintbrush, Pale Paintbrush"
3920,Vascular Plant,Castilleja miniata,None,"Great Red Indian-Paintbrush, Great Red Indian Paintbrush, Scarlet Paintbrush, Giant Red Indian Paintbrush, Scarlet Indian Paintbrush"
3919,Vascular Plant,Castilleja linariifolia,None,"Wyoming Indian Paintbrush, Wyoming Paintbrush"
3918,Vascular Plant,Castilleja cusickii,None,"Cusick's Paintbrush, Cusick's Indian Paintbrush"
3917,Vascular Plant,Castilleja crista-galli,None,Mountainside Indian Paintbrush
3916,Vascular Plant,Utricularia ochroleuca,None,Yellowishwhite Bladderwort
3924,Vascular Plant,Castilleja rhexiifolia,None,"Rhexialeaf Paintbrush, Splitleaf Indian Paintbrush"
3915,Vascular Plant,Utricularia minor,None,Lesser Bladderwort
3912,Vascular Plant,Scutellaria galericulata,None,"Hooded Skullcap, Marsh Skullcap"
3911,Vascular Plant,Salvia nemorosa,None,Woodland Sage
3908,Vascular Plant,Monarda fistulosa var. menthifolia,None,"Wild Bergamot, Mintleaf Bergamot"
3906,Vascular Plant,Lycopus asper,None,"Rough Water-Horehound, Rough Bugleweed"
3914,Vascular Plant,Utricularia macrorhiza,None,"Common Bladderwort, Common Bladderpod, Greater Bladderwort"
3926,Vascular Plant,Orobanche corymbosa,None,"Flat-Top Broomrape, Rydberg's Broomrape"
3927,Vascular Plant,Orobanche fasciculata,None,"Tufted Broomrape, Purple Broomrape, Clustered Broomrape, Clustered Broom-Rape"
3928,Vascular Plant,Orobanche ludoviciana var. ludoviciana,None,Louisiana Broomrape
3948,Vascular Plant,Hippuris vulgaris,None,"Common Mare's Tail, Common Mare's-Tail"
3947,Vascular Plant,Collinsia parviflora,None,"Smallflower Blue Eyed Mary, Small-Flower Blue-Eyed Mary, Blue-Eyed Mary, Maiden Blue Eyed Mary, Littleflower Collinsia"
3946,Vascular Plant,Callitriche palustris,None,"Vernal Water-Starwort, Spiny Waterstarwort, Spring Waterstarwort, Vernal Waterstarwort"
3944,Vascular Plant,Callitriche hermaphroditica,None,"Autumn Waterstarwort, Northern Water-Starwort, Scarlet Waterstarwort, Northern Waterstarwort, Autumn Water-Starwort"
3943,Vascular Plant,Besseya wyomingensis,None,"Wyoming Kittentail, Wyoming Besseya"
3942,Vascular Plant,Mimulus suksdorfii,None,"Miniature Monkey-Flower, Suksdorf's Monkeyflower"
3941,Vascular Plant,Mimulus rubellus,None,"Red Monkeyflower, Redstem Monkey-Flower, Little Redstem Monkeyflower"
3939,Vascular Plant,Mimulus nanus,None,Dwarf Purple Monkeyflower
3938,Vascular Plant,Mimulus moschatus,None,"Musk Monkeyflower, Muskflower"
3937,Vascular Plant,Mimulus lewisii,None,"Purple Monkeyflower, Lewis' Monkeyflower"
3936,Vascular Plant,Mimulus guttatus,None,"Common Monkeyflower, Seep Monkeyflower"
3935,Vascular Plant,Mimulus floribundus,None,"Purplestem Monkeyflower, Floriferous Monkeyflower, Manyflowered Monkeyflower"
3934,Vascular Plant,Mimulus breweri,None,Brewer's Monkeyflower
3933,Vascular Plant,Pedicularis groenlandica,None,"Elephanthead Lousewort, Bull Elephant's-Head"
3932,Vascular Plant,Pedicularis cystopteridifolia,None,Fernleaved Pedicularis
3931,Vascular Plant,Pedicularis contorta var. contorta,None,Coiled Lousewort
3930,Vascular Plant,Pedicularis bracteosa var. paysoniana,None,Payson's Lousewort
3929,Vascular Plant,Orthocarpus luteus,None,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover"
3950,Vascular Plant,Linaria dalmatica,None,"Dalmatian Toadflax, Dalmation Toadflax"
3815,Vascular Plant,Ipomopsis aggregata var. aggregata,None,Scarlet Gilia
3813,Vascular Plant,Collomia linearis,None,"Narrow-Leaf Mountain-Trumpet, Slenderleaf Collomia, Narrowleaf Mountaintrumpet, Tiny Trumpet"
3699,Vascular Plant,Gypsophila paniculata,None,"Babysbreath Gypsophila, Babysbreath, Perfoliate Baby's Breath, Baby's Breath, Bachelor's Button"
3695,Vascular Plant,Cerastium fontanum,None,"Common Mouse-Ear Chickweed, Mouse-Ear Chickweed, Common Chickweed"
3694,Vascular Plant,Cerastium arvense,None,"Starry Chickweed, Field Mouse-Ear Chickweed, Field Chickweed"
3692,Vascular Plant,Opuntia polyacantha var. polyacantha,None,Hairspine Pricklypear
3700,Vascular Plant,Minuartia austromontana,None,Columbian Stitchwort
3691,Vascular Plant,Opuntia fragilis,None,"Jumping Cactus, Brittle Cactus, Brittle Pricklypear, Little Pricklypear, Fragile Cactus"
3689,Vascular Plant,Salsola tragus,None,"Tumbleweed, Prickly Russian Thistle"
3688,Vascular Plant,Salsola collina,None,"Tumbleweed, Slender Russian-Thistle"
3687,Vascular Plant,Monolepis nuttalliana,None,"Patata, Nuttall's Monolepis, Nuttall's Povertyweed, Nuttall's Poverty-Weed, Patota"
3686,Vascular Plant,Krascheninnikovia lanata,None,Winterfat
3685,Vascular Plant,Grayia spinosa,None,Spiny Hopsage
3684,Vascular Plant,Chenopodium simplex,None,"Mapleleaf Goosefoot, Giant-Seed Goosefoot"
3683,Vascular Plant,Chenopodium pratericola,None,Desert Goosefoot
3682,Vascular Plant,Chenopodium leptophyllum,None,"Narrowleaf Goosefoot, Slimleaf Goosefoot, Slimleaf Lambsquarters, Narrowleaf Lambsquarters, Narrowleaved Goosefoot"
3690,Vascular Plant,Suaeda calceoliformis,None,"Paiuteweed, Western Seepweed, Pursh Seepweed"
3681,Vascular Plant,Chenopodium glaucum var. salinum,None,Rocky Mountain Goosefoot
3701,Vascular Plant,Minuartia nuttallii,None,Nuttall's Sandwort
3703,Vascular Plant,Minuartia rubella,None,"Boreal Stitchwort, Beautiful Sandwort"
3721,Vascular Plant,Stellaria crispa,None,"Crispleaved Chickweed, Curled Starwort, Crisp Starwort"
3720,Vascular Plant,Stellaria crassifolia,None,"Thickleaved Chickweed, Fleshy Starwort"
3719,Vascular Plant,Stellaria calycantha,None,"Northern Starwort, Northern Chickweed"
3718,Vascular Plant,Spergularia rubra,None,"Red Sandspurry, Purple Sandspurry"
3716,Vascular Plant,Silene parryi,None,Parry's Silene
3715,Vascular Plant,Silene oregana,None,"Oregon Silene, Oregon Campion"
3714,Vascular Plant,Silene menziesii var. viscosa,None,Menzies' Campion
3702,Vascular Plant,Minuartia obtusiloba,None,"Twinflower Sandwort, Alpine Sandwort"
3713,Vascular Plant,Silene menziesii var. menziesii,None,Menzies' Campion
3711,Vascular Plant,Silene hitchguirei,None,Apetalous Catchfly
3710,Vascular Plant,Silene drummondii var. drummondii,None,"Drummond's Catchfly, Drummond's Campion"
3708,Vascular Plant,Silene acaulis var. subacaulescens,None,"Moss Campion, Moss Catchfly"
3706,Vascular Plant,Sagina saginoides,None,"Alpine Pearlwort, Arctic Pearlwort"
3705,Vascular Plant,Paronychia sessiliflora,None,"Nailwort, Creeping Nailwort, Low Nailwort, Stemless Nailwort"
3704,Vascular Plant,Moehringia lateriflora,None,"Blunt-Leaf Grove-Sandwort, Grove Sandwort, Bluntleaf Sandwort"
3712,Vascular Plant,Silene latifolia,None,"Bladder Campion, Bladder-Campion"
3680,Vascular Plant,Chenopodium fremontii,None,Fremont's Goosefoot
3679,Vascular Plant,Chenopodium atrovirens,None,"Pinyon Goosefoot, Dark Goosefoot"
3678,Vascular Plant,Bassia hyssopifolia,None,"Fivehorn Smotherweed, Smotherweed, Fivehook Bassia"
3654,Vascular Plant,Physaria didymocarpa var. didymocarpa,None,Common Twinpod
3653,Vascular Plant,Physaria acutifolia var. acutifolia,None,"Sharpleaf Twinpod, Southern Twinpod"
3652,Vascular Plant,Noccaea montana,None,Alpine Pennycress
3651,Vascular Plant,Nasturtium officinale,None,Watercress
3650,Vascular Plant,Lesquerella alpina var. alpina,None,Alpine Bladderpod
3649,Vascular Plant,Lepidium virginicum var. pubescens,None,Hairy Pepperweed
3648,Vascular Plant,Lepidium sativum,None,"Gardencress Pepperweed, Garden Pepperwort"
3647,Vascular Plant,Lepidium ramosissimum,None,"Pepperweed, Manybranched Pepperweed"
3655,Vascular Plant,Rorippa curvipes var. curvipes,None,"Bluntleaf Yellowcress, Blunt-Leaf Yellowcress"
3646,Vascular Plant,Lepidium perfoliatum,None,"Claspingleaf Pepperweed, Clasping Pepperweed, Clasping Pepperwort"
3644,Vascular Plant,Lepidium densiflorum var. macrocarpum,None,Bigseed Pepperweed
3642,Vascular Plant,Isatis tinctoria,None,Dyer's Woad
3640,Vascular Plant,Euclidium syriacum,None,"Syrian Mustard, Syria Euclidium"
3639,Vascular Plant,Erysimum inconspicuum,None,"Smallflower Wallflower, Shy Wallflower"
3637,Vascular Plant,Erysimum asperum,None,Western Wallflower
3645,Vascular Plant,Lepidium densiflorum var. pubecarpum,None,Babyseed Pepperweed
3656,Vascular Plant,Rorippa curvisiliqua,None,Curvepod Yellowcress
3658,Vascular Plant,Schoenocrambe linifolia,None,"Rush Mustard, Flaxleaf Plainsmustard"
3677,Vascular Plant,Atriplex subspicata,None,"Saline Saltbush, Spearscale, Spreading Orach, Orach Saltbush, Halberdleaf Orach"
3676,Vascular Plant,Atriplex rosea,None,"Tumbling Orache, Tumbling Saltweed, Redscale Saltbush, Redscale Saltweed"
3675,Vascular Plant,Atriplex patula,None,"Spear Orach, Spear Saltweed, Halberd-Leaf Orache, Spear-Scale, Spear Saltbush, Spreading Orache"
3674,Vascular Plant,Atriplex hortensis,None,"Armuelle Mole, Bledos Moles, Garden Orache, Garden Orach, Mountain-Spinach"
3673,Vascular Plant,Atriplex canescens var. canescens,None,Fourwing Saltbush
3672,Vascular Plant,Atriplex argentea,None,"Silverscale Saltweed, Silverscale, Silverscale Saltbush"
3670,Vascular Plant,Amaranthus blitoides,None,"Prostrate Amaranth, Prostrate Pigweed, Mat Amaranth"
3668,Vascular Plant,Floerkea proserpinacoides,None,"False Mermaidweed, False Mermaid-Weed"
3667,Vascular Plant,Cleome serrulata,None,"Rocky Mountain Beeplant, Bee Spiderflower"
3665,Vascular Plant,Thelypodium sagittatum,None,"Slender Thelypody, Arrow Thelypody"
3664,Vascular Plant,Thelypodium paniculatum,None,Northwestern Thelypody
3663,Vascular Plant,Thelypodium integrifolium,None,"Entireleaved Thelypody, Entire-Leaf Thelypody, Smoothleaved Thelypody, Entireleaf Thelypody"
3662,Vascular Plant,Subularia aquatica,None,"Waterawlwort, American Awlwort"
3661,Vascular Plant,Smelowskia calycina var. americana,None,American False Candytuft
3660,Vascular Plant,Sisymbrium loeselii,None,"False London Rocket, Tall Hedgemustard, Small Tumbleweed Mustard, Tallhedge Mustard"
3659,Vascular Plant,Sisymbrium altissimum,None,"Jim Hill Mustard, Tall Tumblemustard, Tumbleweed Mustard, Tall Hedge-Mustard, Tumble Mustard, Tumblemustard, Tall Mustard"
3723,Vascular Plant,Stellaria longipes var. longipes,None,"Longstalk Starwort, Chickweed"
3725,Vascular Plant,Stellaria obtusa,None,Rocky Mountain Chickweed
3789,Vascular Plant,Valeriana acutiloba var. pubicarpa,None,"Hairyfruit Valerian, Hairyfruit Valeriana"
3788,Vascular Plant,Linnaea borealis var. longiflora,None,Longtube Twinflower
3786,Vascular Plant,Symphoricarpos oreophilus var. utahensis,None,Utah Snowberry
3785,Vascular Plant,Symphoricarpos occidentalis,None,"Western Snowberry, Wolfberry"
3784,Vascular Plant,Symphoricarpos albus var. laevigatus,None,Common Snowberry
3783,Vascular Plant,Lonicera utahensis,None,Utah Honeysuckle
3782,Vascular Plant,Lonicera involucrata,None,"Twinberry Honeysuckle, Bearberry Honeysuckle"
3790,Vascular Plant,Valeriana dioica var. sylvatica,None,"Woods Valeriana, Woods Valerian"
3781,Vascular Plant,Lonicera caerulea,None,"Sweetberry Honeysuckle, Fly Honeysuckle, Blue Honeysuckle"
3779,Vascular Plant,Sambucus racemosa var. melanocarpa,None,"Red Elderberry, Rocky Mountain Elder, Black Elderberry"
3778,Vascular Plant,Adoxa moschatellina,None,Muskroot
3777,Vascular Plant,Mentzelia montana,None,"Variegated-Bract Blazingstar, Variegatedbract Blazingstar, Mountain Blazingstar"
3776,Vascular Plant,Mentzelia laevicaulis var. laevicaulis,None,Smoothstem Blazingstar
3775,Vascular Plant,Mentzelia dispersa,None,"Scattered Blazingstar, Bushy Blazingstar, Nevada Blazingstar"
3774,Vascular Plant,Mentzelia decapetala,None,"Gumbo-Lily, Tenpetal Blazingstar, Evening Starflower, Tenpetal Stickleaf, Tenpetal Mentzelia"
3773,Vascular Plant,Mentzelia albicaulis,None,"Whitestem Blazingstar, White Blazingstar, White-Stemmed Evening-Star, Whitestem Stickleaf"
3772,Vascular Plant,Cornus canadensis,None,"Canadian Bunchberry, Bunchberry Dogwood"
3780,Vascular Plant,Viburnum edule,None,Squashberry
3791,Vascular Plant,Valeriana edulis var. edulis,None,Tobacco Root
3792,Vascular Plant,Valeriana occidentalis,None,"Western Valeriana, Western Valerian, Small-Flower Valerian"
3812,Vascular Plant,Vaccinium scoparium,None,"Grouse Whortleberry, Grouseberry, Red Alpine Blueberry, Littleleaf Huckleberry"
3811,Vascular Plant,Vaccinium myrtillus var. oreophilum,None,Whortleberry
3810,Vascular Plant,Vaccinium membranaceum,None,"Mountain Bilberry, Thinleaf Huckleberry"
3809,Vascular Plant,Vaccinium cespitosum,None,"Dwarf Blueberry, Dwarf Bilberry"
3808,Vascular Plant,Pyrola minor,None,"Lesser Wintergreen, Snowline Wintergreen"
3807,Vascular Plant,Pterospora andromedea,None,"Woodland Pinedrops, Giant Bird's Nest, Giant Pinedrops"
3806,Vascular Plant,Phyllodoce empetriformis,None,"Pink Mountainheath, Mountain Heath, Red Mountainheath"
3805,Vascular Plant,Orthilia secunda,None,"One-Sided Wintergreen, Sidebells Wintergreen"
3803,Vascular Plant,Moneses uniflora,None,"One-Flowered Shinleaf, Woodnymph, Single Delight, One-Flowered Wintergreen"
3802,Vascular Plant,Ledum glandulosum,None,"Glandular Labrador Tea, Western Labrador Tea"
3801,Vascular Plant,Kalmia microphylla,None,"Alpine Bog Laurel, Alpine Laurel"
3800,Vascular Plant,Gaultheria humifusa,None,"Alpine Spicywintergreen, Western Wintergreen"
3799,Vascular Plant,Arctostaphylos uva-ursi,None,"Kinnikinnick, Bearberry Manzanita, Bearberry, Mealberry"
3798,Vascular Plant,Equisetum variegatum,None,"Variegated Horsetail, Variegated Scouring-Rush, Variegated Scouringrush"
3797,Vascular Plant,Equisetum scirpoides,None,Dwarf Scouringrush
3796,Vascular Plant,Equisetum laevigatum,None,"Horsetail, Smooth Scouring-Rush, Smooth Horsetail, Smooth Scouringrush"
3794,Vascular Plant,Equisetum fluviatile,None,"Pipes, River Horsetail, Water Horsetail"
3771,Vascular Plant,Ceratophyllum demersum,None,"Coon's Tail, Common Hornwort, Coontail, Hornwort, Coon's-Tail"
3814,Vascular Plant,Gymnosteris parvula,None,Smallflower Gymnosteris
3770,Vascular Plant,Paxistima myrsinites,None,"Boxleaf, Mountain Lover, Oregon Boxleaf, Boxleaf Myrtle"
3768,Vascular Plant,Parnassia palustris var. montanensis,None,"Northern Grass-Of-Parnassus, Mountain Grass Of Parnassus"
3744,Vascular Plant,Eriogonum umbellatum var. cladophorum,None,Sulphur-Flower Buckwheat
3743,Vascular Plant,Eriogonum ovalifolium var. purpureum,None,Cushion Buckwheat
3742,Vascular Plant,Eriogonum heracleoides var. heracleoides,None,Parsnipflower Buckwheat
3741,Vascular Plant,Eriogonum flavum var. piperi,None,"Piper's Eriogonum, Piper's Golden Buckwheat"
3740,Vascular Plant,Eriogonum flavum var. flavum,None,Alpine Golden Buckwheat
3739,Vascular Plant,Eriogonum cernuum var. cernuum,None,"Nodding Buckwheat, Nodding Wild Buckwheat"
3738,Vascular Plant,Eriogonum caespitosum,None,"Mat Buckwheat, Matted Buckwheat, Mat Eriogonum, Matted Wild Buckwheat"
3737,Vascular Plant,Mirabilis linearis,None,"Four O'Clock, Linearleaf Four-O'Clock, Narrowleaf Four-O'Clock, Narrowleaf Four O'Clock"
3745,Vascular Plant,Eriogonum umbellatum var. dichrocephalum,None,"Sulphurflower Buckwheat, Sulphur-Flower Buckwheat"
3735,Vascular Plant,Montia chamissoi,None,"Water Indianlettuce, Toadlily, Water Minerslettuce, Water Miner's Lettuce"
3733,Vascular Plant,Lewisia rediviva var. rediviva,None,"Bitter Root, Oregon Bitterroot"
3732,Vascular Plant,Lewisia pygmaea,None,"Pigmy Bitterroot, Alpine Lewisia, Alpine Bitterroot"
3731,Vascular Plant,Claytonia megarhiza var. megarhiza,None,Alpine Springbeauty
3730,Vascular Plant,Claytonia lanceolata,None,Lanceleaf Springbeauty
3729,Vascular Plant,Cistanthe umbellata,None,"Mt. Hood Pussypaws, Umbellate Pussypaws"
3728,Vascular Plant,Drosera anglica,None,English Sundew
3727,Vascular Plant,Vaccaria hispanica,None,"Cowcockle, Cow Soapwort, Field Vaccaria"
3726,Vascular Plant,Stellaria umbellata,None,"Umbrella Starwort, Umbellate Chickweed"
